source,relative_path,doc_type,parser,parse_status,quality_status,ingest_status,pages_total,pages_parsed,ocr_pages,table_pages,empty_pages,chars_total,avg_chars_per_page,valid_char_ratio,garble_score,table_count,table_fact_count,table_review_count,artifact_dir,notes
2021 - DIVERSITY OF MICROORGANISMS CAUSING SOFT ROT DISEASE OFFRUITS AND VEGETABLES MARKETED IN TAMANGHASSE.pdf,papers/2021 - DIVERSITY OF MICROORGANISMS CAUSING SOFT ROT DISEASE OFFRUITS AND VEGETABLES MARKETED IN TAMANGHASSE.pdf,文献,pdfplumber,ok,pass,ingested,18,234,0,9,0,92934,397.15,0.9301,0.0941,18,198,4,parsed_docs/2021_-_DIVERSITY_OF_MICROORGANISMS_CAUSING_SOFT_ROT_DISEASE_OFFRUITS_AND_VEGETAB__dd0dabe7,
4种市售食醋的理化指标及风味品质分析_万苏艳.pdf,papers/4种市售食醋的理化指标及风味品质分析_万苏艳.pdf,文献,pdfplumber,ok,pass,ingested,9,11,0,2,0,22799,2072.64,0.9678,0.0323,2,0,0,parsed_docs/4种市售食醋的理化指标及风味品质分析_万苏艳__58182466,
Abid 等 - 2024 - Acetic fermentation and health effects an in-depth examination of grain vinegars and their producti.pdf,papers/Abid 等 - 2024 - Acetic fermentation and health effects an in-depth examination of grain vinegars and their producti.pdf,文献,pdfplumber,ok,pass,ingested,16,110,0,5,0,113180,1028.91,0.9819,0.0182,5,89,0,parsed_docs/Abid_等_-_2024_-_Acetic_fermentation_and_health_effects_an_in-depth_examination_o__6fef72dc,
Abraham 等 - 2023 - Palm wine as a food-based bait for monitoring adult Ceratitis ditissima (Munro) (Diptera Tephritida.pdf,papers/Abraham 等 - 2023 - Palm wine as a food-based bait for monitoring adult Ceratitis ditissima (Munro) (Diptera Tephritida.pdf,文献,pdfplumber,ok,pass,ingested,6,73,0,2,0,56722,777.01,0.9733,0.0269,2,65,0,parsed_docs/Abraham_等_-_2023_-_Palm_wine_as_a_food-based_bait_for_monitoring_adult_Ceratitis__413c8e97,
Akkuş 等 - 2022 - Antifungal and larvicidal effects of wood vinegar on wood-destroying fungi and insects.pdf,papers/Akkuş 等 - 2022 - Antifungal and larvicidal effects of wood vinegar on wood-destroying fungi and insects.pdf,文献,pdfplumber,ok,pass,ingested,10,188,0,5,0,81153,431.66,0.9598,0.0404,5,173,0,parsed_docs/Akkus_等_-_2022_-_Antifungal_and_larvicidal_effects_of_wood_vinegar_on_wood-destr__025ff522,
Akyildiz 等 - 2023 - The Effect of Disinfection Methods on C. Albicans in Three Types of Denture Base Materials.pdf,papers/Akyildiz 等 - 2023 - The Effect of Disinfection Methods on C. Albicans in Three Types of Denture Base Materials.pdf,文献,pdfplumber,ok,pass,ingested,8,28,0,1,0,21297,760.61,0.9833,0.0167,1,19,0,parsed_docs/Akyildiz_等_-_2023_-_The_Effect_of_Disinfection_Methods_on_C._Albicans_in_Three_T__ad62e10c,
Al 等 - 2026 - A case-series of oral acetate supplementation for gut microbiota alteration and metabolic improvemen.pdf,papers/Al 等 - 2026 - A case-series of oral acetate supplementation for gut microbiota alteration and metabolic improvemen.pdf,文献,pdfplumber,ok,pass,ingested,44,137,0,4,0,80951,590.88,0.9539,0.0461,8,85,4,parsed_docs/Al_等_-_2026_-_A_case-series_of_oral_acetate_supplementation_for_gut_microbiota_a__2e5e6ea9,
Al-Dalali 等 - 2020 - Determination of the aroma changes of Zhengrong vinegar during different processing steps by SPME–GC.pdf,papers/Al-Dalali 等 - 2020 - Determination of the aroma changes of Zhengrong vinegar during different processing steps by SPME–GC.pdf,文献,pdfplumber,ok,pass,ingested,13,228,0,8,0,104174,456.9,0.9562,0.0438,8,207,1,parsed_docs/Al-Dalali_等_-_2020_-_Determination_of_the_aroma_changes_of_Zhengrong_vinegar_dur__689bd65c,
Al-Dalali等 - 2020 - Effects of different brewing processes on the volatile flavor profiles of Chinese vinegar determined by HS-SPME-AEDA with GC-MS and GC-O.pdf,papers/Al-Dalali等 - 2020 - Effects of different brewing processes on the volatile flavor profiles of Chinese vinegar determined by HS-SPME-AEDA with GC-MS and GC-O.pdf,文献,pdfplumber,ok,pass,ingested,10,142,0,6,0,98148,691.18,0.9696,0.0304,6,126,0,parsed_docs/Al-Dalali等_-_2020_-_Effects_of_different_brewing_processes_on_the_volatile_flavo__017d73dd,
Al-Dalali等 - 2022 - Tracking volatile flavor changes during two years of aging of Chinese vinegar by HS-SPME-GC-MS and GC-O.pdf,papers/Al-Dalali等 - 2022 - Tracking volatile flavor changes during two years of aging of Chinese vinegar by HS-SPME-GC-MS and GC-O.pdf,文献,pdfplumber,ok,pass,ingested,12,173,0,7,0,107677,622.41,0.9708,0.0292,7,154,0,parsed_docs/Al-Dalali等_-_2022_-_Tracking_volatile_flavor_changes_during_two_years_of_aging_o__d6fdbb29,
